,trip_id,arrival_time,departure_time,stop_sequence,trip_headsign,direction_id,route_id,wheelchair_accessible,bikes_allowed,stop_lat,stop_lon,stop_name,is_express
358539,2963675_7206,05:16:56,05:16:56,20,311 Westgate Transit Center WB,0,311,1,1,30.202351,-97.770825,Stassney/Mira,False
58710,2959807_0785,05:17:00,05:17:00,45,10 Southpark Meadows SB,0,10,1,1,30.239928,-97.761138,2522 S 1st/Herndon,False
393391,2964876_8524,05:17:00,05:17:00,34,324 Highland EB,0,324,1,1,30.328491,-97.713603,105 Highland Mall/Jonathan,False
417606,2965347_9161,05:17:00,05:17:00,16,333 Oak Hill WB,0,333,1,1,30.192971,-97.777955,110 William Cannon/Circle S,False
472038,2966220_10589,05:17:00,05:17:00,8,345 Hancock Center EB,1,345,1,1,30.309535,-97.730392,301 45th/Avenue C,False
506251,2975924_11670,05:17:00,05:17:00,14,4 Shady EB,1,4,1,1,30.263763,-97.725888,1601 7th/Comal,False
541913,2968288_13272,05:17:02,05:17:02,20,5 Tannehill EB,0,5,1,1,30.317273,-97.735369,4800 Sunshine (Criss Cole Rehab),False
400035,2965141_8723,05:17:08,05:17:08,12,325 Tech Ridge Park & Ride NB,1,325,1,1,30.361759,-97.694423,400 Rundberg/Slayton,False
646545,2972724_19519,05:17:10,05:17:10,5,800 Mueller NB,0,800,1,1,30.193732,-97.744558,Dove Springs NB (Pleasant Valley/Stassney),True
262306,2962835_5592,05:17:11,05:17:11,24,30 Westgate Transit Center SB,1,30,1,1,30.332659,-97.7597,3313 Hancock/Balcones,False
405394,2965075_8857,05:17:12,05:17:12,11,325 Norwood Transit Center SB,0,325,1,1,30.400818,-97.703014,ACC Northridge,False
693719,2973578_21196,05:17:12,05:17:12,8,803 Domain NB,0,803,1,1,30.265454,-97.752098,Seaholm Station (NB),True
372947,2964305_7672,05:17:15,05:17:15,8,318 Westgate Transit Center WB,1,318,1,1,30.167797,-97.79335,305 Slaughter/Alice Mae,False
103231,2960759_2059,05:17:17,05:17:17,16,2 EASTSIDE BUS PLAZA SB,0,2,1,1,30.271094,-97.734976,608 11th/Red River,False
377843,2964508_7809,05:17:19,05:17:19,19,322 Hancock Center NB,1,322,1,1,30.28212,-97.721643,2103 Chicon/21st,False
478637,2966423_10894,05:17:21,05:17:21,16,350 ACC Riverside SB,1,350,1,1,30.291604,-97.707379,4001 Airport/Antone,False
392042,2964673_8422,05:17:29,05:17:29,11,323 Northcross WB,0,323,1,1,30.354217,-97.732117,Northcross Station (SB),False
428286,2965618_9550,05:17:30,05:17:30,12,335 Exposition WB,0,335,1,1,30.300733,-97.733816,104 38th/Speedway,False
14163,2959677_0191,05:17:32,05:17:32,28,1 Tech Ridge Park & Ride NB,1,1,1,1,30.275587,-97.742558,Capitol Station (NB),False
349953,2963448_6941,05:17:34,05:17:34,18,310 S. Congress Transit Center WB,1,310,1,1,30.22216,-97.742228,3300 Parker/Timber Ridge,False
368267,2964269_7570,05:17:34,05:17:34,20,318 Thaxton EB,0,318,1,1,30.196581,-97.829043,8204 West Gate/Linnet,False
366251,2964125_7470,05:17:35,05:17:35,4,315 Oak Hill WB,1,315,1,1,30.228725,-97.783791,Ben White/Clawson,False
489461,2966590_11169,05:17:35,05:17:35,14,383 Lakeline Station NB,0,383,1,1,30.391198,-97.739283,10001 Stonelake/Capital of Texas,False
634200,2972217_19334,05:17:37,05:17:37,43,7 William Cannon SB,0,7,1,1,30.224895,-97.742138,3004 Parker/Timber Ridge,False
81482,2960566_1367,05:17:39,05:17:39,22,18 Exposition WB,1,18,1,1,30.278962,-97.742708,Guadalupe/16th Street,False
417607,2965347_9161,05:17:43,05:17:43,17,333 Oak Hill WB,0,333,1,1,30.193894,-97.780466,200 William Cannon/Starstreak,False
262307,2962835_5592,05:17:45,05:17:45,25,30 Westgate Transit Center SB,1,30,1,1,30.331464,-97.75715,Hancock/Valley Oak,False
72317,2960249_0996,05:17:48,05:17:48,4,135 Tech Ridge Park & Ride NB,0,135,1,1,30.277589,-97.700657,1215 Airport/12th,False
472039,2966220_10589,05:17:53,05:17:53,9,345 Hancock Center EB,1,345,1,1,30.308071,-97.727271,201 45th/Avenue F,False
372948,2964305_7672,05:17:55,05:17:55,9,318 Westgate Transit Center WB,1,318,1,1,30.169519,-97.795847,324 Slaughter/Francia,False
649936,2972780_19673,05:17:55,05:17:55,8,800 Slaughter SB,1,800,1,1,30.25282,-97.713,Cesar Chavez SB (Pleasant Valley/Cesar Chavez),True
352211,2963741_7044,05:17:57,05:17:57,10,311 ACC RIVERSIDE EB,1,311,1,1,30.218687,-97.805931,Stassney/Westgate,False
45086,2959874_0596,05:17:59,05:17:59,29,10 Norwood Transit Center NB,1,10,1,1,30.244369,-97.757657,2201 S 1st/Live Oak,False
405395,2965075_8857,05:17:59,05:17:59,12,325 Norwood Transit Center SB,0,325,1,1,30.397885,-97.704866,Metric/Gracy Farms,False
